name,sport,division,conference,nickname,nickname_plural,mascot,primary_color,secondary_color,logo_url,identity_source,identity_notes,conference_champion_2025,conference_champion_name,conference_champion_source,academic_rating,soccer_score
Westmont,mens-soccer,"NCAA D2",PacWest,Warriors,1,Warrior,,,https://upload.wikimedia.org/wikipedia/commons/4/46/Westmont_college_textlogo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Westmont College",,,,,8.0,54.39
"Westmoreland County",mens-soccer,NJCAA,PSJUCO,Wolfpack,0,"Westly Wolf",#0083c2,#76bd22,,"wikipedia:Westmoreland County Community College",,,,,6.0,21.43
"Wharton County Junior",mens-soccer,NJCAA,WJCAC,,,Pioneers,,,https://upload.wikimedia.org/wikipedia/commons/1/15/Wharton_County_Junior_College.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Wharton County Junior College",,,,,6.5,
"Wheaton (IL)",mens-soccer,"NCAA D3",CCIW,Thunder,0,"Tor the Mastodon",,,,"wikipedia:Wheaton College (Illinois)",,,,,8.8,46.28
"Wheaton (MA)",mens-soccer,"NCAA D3",NEWMAC,Lyons,1,,,,https://upload.wikimedia.org/wikipedia/commons/4/4f/Wheaton_College%2C_Massachusetts_wordmark.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Wheaton College (Massachusetts)",,,,,8.2,51.29
Wheeling,mens-soccer,"NCAA D2","Mountain East",Cardinals,1,"Iggy the Cardinal",,,https://upload.wikimedia.org/wikipedia/commons/d/df/Wheeling_university_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Wheeling University",,,,,5.4,41.95
Whitman,mens-soccer,"NCAA D3",NWC,Blues,1,,#002868,#FFC627,https://upload.wikimedia.org/wikipedia/en/1/18/Whitman_College_Wordmark_Clock_Tower.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Whitman College",,1,NWC,https://nwcsports.com/news/2025/11/9/whitman-claims-2025-nwc-mens-soccer-title-and-ncaa-automatic-qualification.aspx,9.2,47.07
Whitworth,mens-soccer,"NCAA D3",NWC,"Pirates, Bucs",1,,,,https://upload.wikimedia.org/wikipedia/commons/9/93/Whitworth_univ_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Whitworth University",,,,,6.5,43.46
Widener,mens-soccer,"NCAA D3","MAC Commonwealth",Pride,0,"Chester & Melrose (Lions)",#008aff,#ffd461,https://upload.wikimedia.org/wikipedia/commons/2/25/Widener_univ_logo_blue.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Widener University",,,,,6.5,41.07
"Wiley University",mens-soccer,NAIA,"Continental Athletic Conference",Wildcats,1,"Wiley the Wildcat",#5c3a8c,#b1b6c1,https://upload.wikimedia.org/wikipedia/commons/0/08/Standard_Nameplate_Purple.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Wiley University","copied from this school's other-sport row (Wiley University); the article ""Wiley University"" names this institution",,,,,43.74
Wilkes,mens-soccer,"NCAA D3","MAC Freedom",Colonels,1,Colonel,#022C5A,#FFCD00,https://upload.wikimedia.org/wikipedia/commons/e/e5/Wilkes_univ_textlogo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Wilkes University",,,,,6.5,31.99
"William & Mary",mens-soccer,"NCAA D1","Coastal Athletic Association",Tribe,0,"The Griffin",#115740,#B9975B,,"wikipedia:College of William & Mary",,,,,9.0,63.96
"William Carey University",mens-soccer,NAIA,"Southern States Athletic Conference",Crusaders,1,,#b01e24,,,"wikipedia:William Carey University","copied from this school's other-sport row (William Carey University); the article ""William Carey University"" names this institution",,,,,59.54
"William Jewell",mens-soccer,"NCAA D2",GLVC,Cardinals,1,,,,https://upload.wikimedia.org/wikipedia/commons/b/b6/Jewell_college_textlogo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:William Jewell College",,,,,5.4,46.08
"William Penn",mens-soccer,NAIA,HAAC,Statesmen,1,Statesmen,#00214d,#ffd204,,"wikipedia:William Penn University",,,,,5.6,63.05
"William Rainey Harper",mens-soccer,NJCAA,GRAC,,,,,,,,"Cleared on audit: previous match (Harper College) failed re-verification",,,,7.0,
"William Woods",mens-soccer,NAIA,AMC,Owls,1,"Screech the Owl",#02493b,#7f2346,,"wikipedia:William Woods University",,,,,5.6,55.4
Williams,mens-soccer,"NCAA D3",NESCAC,Ephs,1,"Ephelia, the Purple Cow",#512698,#FDCC09,https://upload.wikimedia.org/wikipedia/commons/1/14/Williams_College_wordmark.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Williams College","corrected from this school's women's row: had been matched to a different institution of a similar name (wikipedia:Williams College)",,,,10.0,50.41
"Williams Baptist University",mens-soccer,NAIA,"American Midwest Conference",Eagles,1,Eagle,#014fa3,,,"wikipedia:Williams Baptist University","copied from this school's other-sport row (Williams Baptist University); the article ""Williams Baptist University"" names this institution",,,,,55.34
"Wilmington (DE)",mens-soccer,"NCAA D2",CACC,Wildcats,1,"Wiley D. Wildcat",#008751,#FFFFFF,https://upload.wikimedia.org/wikipedia/en/0/0b/Logo-of-Wilmington-University.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Wilmington University",,,,,5.4,59.46
"Wilmington (OH)",mens-soccer,"NCAA D3",HCAC,Quakers,1,Quakerman,,,https://upload.wikimedia.org/wikipedia/commons/2/24/Wilmington_college_of_ohio_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Wilmington College (Ohio)",,,,,6.5,48.74
Wingate,mens-soccer,"NCAA D2",SAC,Bulldogs,1,"Victor E. Bulldog",,,https://upload.wikimedia.org/wikipedia/commons/2/28/Wingate_univ_flag.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Wingate University",,,,,6.5,54.78
Winthrop,mens-soccer,"NCAA D1","Big South Conference",Eagles,1,"Big Stuff",#660000,#F0B323,https://upload.wikimedia.org/wikipedia/en/f/f9/Winthrop_University_logo_2018.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Winthrop University",,,,,5.0,60.59
Wisconsin,mens-soccer,"NCAA D1","Big Ten Conference",Badgers,1,"Bucky Badger",,,https://upload.wikimedia.org/wikipedia/en/e/e0/University_of_Wisconsin-Madison_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:University of Wisconsin–Madison",,,,,9.0,87.26
"Wisconsin-Eau Claire",mens-soccer,"NCAA D3",WIAC,Blugolds,1,Blu,#2B3E85,#EDAC1A,https://upload.wikimedia.org/wikipedia/commons/5/51/Eauclairewordmark.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:University of Wisconsin–Eau Claire",,1,WIAC,"WIAC official 2025 championship coverage",6.5,51.0
"Wisconsin-La Crosse",mens-soccer,"NCAA D3",WIAC,Eagles,1,"Stryker the Eagle",#830019,#969799,https://upload.wikimedia.org/wikipedia/commons/9/9f/Univ_wisconsin_lacrosse_textlogo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:University of Wisconsin–La Crosse",,,,,6.5,40.12
Wisconsin-Oshkosh,mens-soccer,"NCAA D3",WIAC,Titans,1,Clash,#000000,#FFCC00,https://upload.wikimedia.org/wikipedia/commons/0/0c/UWO_Lettermark.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:University of Wisconsin–Oshkosh",,,,,6.5,46.54
Wisconsin-Parkside,mens-soccer,"NCAA D2",GLIAC,Rangers,1,"Ranger Bear",#00693E,#231F20,https://upload.wikimedia.org/wikipedia/commons/7/75/UWParkside_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:University of Wisconsin–Parkside",,,,,5.4,56.99
Wisconsin-Platteville,mens-soccer,"NCAA D3",WIAC,Pioneers,1,"Pioneer Pete",#F37321,#0068B3,https://upload.wikimedia.org/wikipedia/commons/e/eb/Uw_platteville_logo_horiz.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:University of Wisconsin–Platteville",,,,,6.5,46.96
"Wisconsin-River Falls",mens-soccer,"NCAA D3",WIAC,Falcons,1,"Freddy Falcon",#C41E3A,#FFFFFF,https://upload.wikimedia.org/wikipedia/commons/3/3c/Uw_river_falls_wmark.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:University of Wisconsin–River Falls",,,,,6.5,36.16
"Wisconsin-Stevens Point",mens-soccer,"NCAA D3",WIAC,Pointers,1,"Stevie Pointer",#512698,#FFC82E,https://upload.wikimedia.org/wikipedia/en/e/ec/UW%E2%80%93Stevens_Point_logo.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:University of Wisconsin–Stevens Point",,,,,6.5,44.67
Wisconsin-Stout,mens-soccer,"NCAA D3",WIAC,"Blue Devils",1,,#13294B,#1D4F91,https://upload.wikimedia.org/wikipedia/en/2/23/University_of_Wisconsin-Stout_Polytechnic_Logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:University of Wisconsin–Stout Polytechnic",,,,,6.5,29.18
Wisconsin-Superior,mens-soccer,"NCAA D3",WIAC,Yellowjackets,1,"Buzz the Yellowjacket",#000000,#FFD046,https://upload.wikimedia.org/wikipedia/en/8/8d/UW-Superior_university_logo%2C_adopted_2025.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:University of Wisconsin–Superior",,1,UMAC,https://umacathletics.com/news/2025/11/8/uw-superior-wins-2025-umac-mens-soccer-tournament-championship.aspx,6.5,50.55
Wisconsin-Whitewater,mens-soccer,"NCAA D3",WIAC,Warhawks,1,"Willie Warhawk",#502D7F,#FFFFFF,https://upload.wikimedia.org/wikipedia/commons/c/c7/UW-Whitewater_logo_2c_lead_hortizontal.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:University of Wisconsin–Whitewater",,,,,6.5,48.18
Wittenberg,mens-soccer,"NCAA D3",OAC,Tigers,1,"Ezry the Tiger",,,https://upload.wikimedia.org/wikipedia/commons/e/e9/Wittenberg_University_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,athletics-domain:wittenbergtigers.com,"nickname recovered from the school's own athletics hostname; its Wikipedia article states none. Confirmed by that site's title (""Wittenberg"").",,,,7.8,41.5
Wofford,mens-soccer,"NCAA D1","Southern Conference",Terriers,1,Terrier,#886E4C,#000000,https://upload.wikimedia.org/wikipedia/commons/d/d8/Wofford-Stacked-Black.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Wofford College",,,,,7.6,72.58
"Worcester Polytechnic",mens-soccer,"NCAA D3",NEWMAC,Engineers,1,"Gompei the Goat",#AC2B37,#A9B0B7,https://upload.wikimedia.org/wikipedia/commons/7/7e/WPI_wordmark.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Worcester Polytechnic Institute",,,,,9.5,46.05
"Worcester State",mens-soccer,"NCAA D3",MASCAC,Lancers,1,"Chandler H. Lancer",#003896,#f0e07d,https://upload.wikimedia.org/wikipedia/commons/f/fa/Worcester_state_univ_wordmark.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Worcester State University",,,,,6.2,37.16
"Wright State",mens-soccer,"NCAA D1","Horizon League",Raiders,1,"Gray Wolf, Raider personified as Rowdy Raider",#026937,#CEA052,https://upload.wikimedia.org/wikipedia/en/b/bd/Wright_State_University_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Wright State University",,,,,5.2,64.71
Xavier,mens-soccer,"NCAA D1","Big East Conference",Musketeers,1,"D'Artagnan the Musketeer<br />The Blue Blob",,,https://upload.wikimedia.org/wikipedia/en/a/a6/Xavier_University_Shield_banner.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Xavier University",,,,,8.0,80.0
"Xavier (LA)",mens-soccer,NAIA,RRAC,"Gold Rush",0,,#ffc530,,https://upload.wikimedia.org/wikipedia/commons/f/fa/Xavier_univ_louisiana_simplelogo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Xavier University of Louisiana",,,,,7.5,58.08
Yale,mens-soccer,"NCAA D1","Ivy League",Bulldogs,1,"Handsome Dan",#00356B,,,"wikipedia:Yale University",,,,,10.0,70.11
Yeshiva,mens-soccer,"NCAA D3",Skyline,Maccabees,1,"The Maccabee",,,https://upload.wikimedia.org/wikipedia/commons/3/3b/Yeshiva_univ_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Yeshiva University",,,,,8.8,38.74
"York (PA)",mens-soccer,"NCAA D3","MAC Freedom",Spartans,1,,#006027,#FFFFFF,https://upload.wikimedia.org/wikipedia/commons/3/3b/York_college_penn_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:York College of Pennsylvania",,,,,6.5,34.91
"York County",mens-soccer,NJCAA,VCCAA,,,,,,,,"Cleared on audit: previous match (New York University) failed re-verification",,,,6.0,27.94
"York University (Nebraska)",mens-soccer,NAIA,"Kansas Collegiate Athletic Conference",Panthers,1,,,,https://upload.wikimedia.org/wikipedia/commons/7/73/York_univ_nebraska_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:York University (Nebraska)","copied from this school's other-sport row (York University (Nebraska)); the article ""York University (Nebraska)"" names this institution",,,,,49.11
"Young Harris",mens-soccer,"NCAA D2","Peach Belt","Mountain Lions",1,,,,https://upload.wikimedia.org/wikipedia/commons/5/5e/Young_harris_college_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Young Harris College",,,,,5.4,65.23
"Abilene Christian",womens-soccer,"NCAA D1",UAC,Wildcats,1,"Willie the Wildcat",,,https://upload.wikimedia.org/wikipedia/commons/1/11/Abilene_Christian_University_wordmark_hz_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Abilene Christian University",,,,,,63.43
"Abraham Baldwin Agricultural College",womens-soccer,NAIA,"Southern States Athletic Conference","Golden Stallions",1,,,,,"wikipedia:Abraham Baldwin Agricultural College",,,,,,38.08
"Adams State",womens-soccer,"NCAA D2","Rocky Mountain Athletic Conference",Grizzlies,1,"Grizzly bear",#007a53,,https://upload.wikimedia.org/wikipedia/en/a/ae/Adams_State_University_logo.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Adams State University",,,,,5.3,50.62
Adelphi,womens-soccer,"NCAA D2","Northeast-10 Conference",Panthers,1,Panther,#4F2C1D,#FFB500,https://upload.wikimedia.org/wikipedia/commons/f/f5/Adelphi_University_wordmark.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Adelphi University",,,,,6.5,65.38
"Adrian College",womens-soccer,"NCAA D3","Michigan Intercollegiate Athletic Association",Bulldogs,1,Bruiser,#D4AF37,,https://upload.wikimedia.org/wikipedia/commons/6/60/Adrian_college_logo_black.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Adrian College",,,,,6.5,42.34
"Agnes Scott College",womens-soccer,"NCAA D3","Collegiate Conference of the South",Scotties,1,"Scottish Terrier",,,https://upload.wikimedia.org/wikipedia/commons/5/54/Agnes_Scott_College_wordmark.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Agnes Scott College",,,,,,31.38
"Air Force",womens-soccer,"NCAA D1","Mountain West",Falcons,1,,,,,athletics-domain:goairforcefalcons.com,"nickname recovered from the school's own athletics hostname; its Wikipedia article states none. Confirmed by that site's title (""Air Force Academy Athletics - Official Athletics Website"").",,,,7.8,69.39
Akron,womens-soccer,"NCAA D1",MAC,Zips,1,"Zippy the Kangaroo",#041E42,#A89968,https://upload.wikimedia.org/wikipedia/commons/1/16/University_of_Akron_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:University of Akron",,,,,5.6,64.62
Alabama,womens-soccer,"NCAA D1",SEC,"Crimson Tide",0,"Big Al",#9E1B32,#FFFFFF,https://upload.wikimedia.org/wikipedia/commons/0/0d/University_of_Alabama_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:University of Alabama",,,,,,87.92
"Alabama A&M",womens-soccer,"NCAA D1",SWAC,Bulldogs,1,Butch,#862633,#FFFFFF,https://upload.wikimedia.org/wikipedia/commons/1/10/Alternative_Alabama_A%26M_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Alabama A&M University",,,,,,65.98
"Alabama Huntsville",womens-soccer,"NCAA D2","Gulf South Conference",Chargers,1,"Charger Blue",#0077C8,#FFFFFF,https://upload.wikimedia.org/wikipedia/commons/1/1e/Alabama-Huntsville_UAH_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:University of Alabama in Huntsville",,,,,5.4,53.79
"Alabama State",womens-soccer,"NCAA D1",SWAC,Hornets,1,,#000000,#F0A40F,https://upload.wikimedia.org/wikipedia/commons/2/29/Alabama_State_University_wordmark.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Alabama State University",,,,,,59.87
Albany,womens-soccer,"NCAA D1","America East","Great Danes",1,"Great Danes",,,https://upload.wikimedia.org/wikipedia/en/3/3d/Logo_for_the_University_at_Albany_2.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:University at Albany",,,,,6.2,62.27
"Albertus Magnus",womens-soccer,"NCAA D3",,,,,,,,,"Added for coaching-contact coverage; soccer_score/academic_rating are placeholders",,,,6.0,38.0
"Albion College",womens-soccer,"NCAA D3","Michigan Intercollegiate Athletic Association",Britons,1,"Brit the Briton",#4B306A,#FFC845,https://upload.wikimedia.org/wikipedia/commons/e/ec/Albiion_college_full_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Albion College",,,,,6.5,42.14
"Albright College",womens-soccer,"NCAA D3","Middle Atlantic Conference (Commonwealth)",Lions,1,,,,https://upload.wikimedia.org/wikipedia/commons/d/d1/Albright_college_penn_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Albright College",,,,,6.5,29.56
"Alcorn State",womens-soccer,"NCAA D1",SWAC,Braves,1,Bravehawk,#512D6D,#CC8A00,https://upload.wikimedia.org/wikipedia/en/7/76/Alcorn_State_University_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Alcorn State University",,,,,,63.99
"Alfred University",womens-soccer,"NCAA D3","Empire 8",Saxons,1,,#550D8A,#F5AA01,https://upload.wikimedia.org/wikipedia/en/8/89/Alfredunilogo.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Alfred University",,,,,6.6,39.56
"Allegheny College",womens-soccer,"NCAA D3","Presidents' Athletic Conference",Gators,1,Chompers,,,https://upload.wikimedia.org/wikipedia/en/9/91/Alleghenycollegelogo.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Allegheny College",,,,,6.5,39.82
Allen,womens-soccer,"NCAA D2",Independent,"Yellow Jackets",1,"Yellow Jacket",#025399,#f3cf3e,https://upload.wikimedia.org/wikipedia/en/0/0d/Allen_University_logo.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Allen University",,,,,,43.94
"Alma College",womens-soccer,"NCAA D3","Michigan Intercollegiate Athletic Association",Scots,1,Scotty,,,https://upload.wikimedia.org/wikipedia/commons/1/1e/Stacked_2_Maroon.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Alma College",,,,,6.5,34.62
"Alvernia University",womens-soccer,"NCAA D3","Middle Atlantic Conference (Commonwealth)",Wolves,1,"Golden Wolves",,,https://upload.wikimedia.org/wikipedia/commons/b/b5/Alvernia_University_Logo.PNG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,athletics-domain:auwolves.com,"copied from this school's other row (Alvernia), same division; that row's nickname was recovered from the school's own athletics site",,,,6.5,34.07
"Alverno College",womens-soccer,"NCAA D3","Northern Athletics Collegiate Conference",Inferno,0,"Blaze the Inferno",#90002E,#FDB714,https://upload.wikimedia.org/wikipedia/commons/d/dc/Alverno_college_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Alverno College",,,,,,28.46
American,womens-soccer,"NCAA D1",Patriot,Eagles,1,"Clawed Z. Eagle",#ED193A,#004FA2,https://upload.wikimedia.org/wikipedia/commons/c/c6/American_University_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:American University",,,,,8.1,65.47
"American International",womens-soccer,"NCAA D2","Northeast-10 Conference","Yellow Jackets",1,,,,,athletics-domain:aicyellowjackets.com,"nickname recovered from the school's own athletics hostname; its Wikipedia article states none. Confirmed by that site's title (""American International College - Official Athletics Website"").",,,,5.4,51.1
"Amherst College",womens-soccer,"NCAA D3","New England Small College Athletic Conference",,,Mammoths,#3f1f69,#FFFFFF,https://upload.wikimedia.org/wikipedia/commons/a/a8/Amherst_College_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Amherst College",,,,,10.0,52.94
"Anderson (SC)",womens-soccer,"NCAA D2","South Atlantic Conference",Trojans,1,"Troy the Trojan",#BCA270,#983141,https://upload.wikimedia.org/wikipedia/en/c/c0/Seal_of_Anderson_University%2C_SC.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Anderson University (South Carolina)",,,,,5.4,61.07
"Anderson University (IN)",womens-soccer,"NCAA D3","Heartland Collegiate Athletic Conference",Ravens,1,"Rodney the Raven",#F57501,,https://upload.wikimedia.org/wikipedia/commons/7/7b/Anderson_univ_indiana_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Anderson University (Indiana)",,,,,6.5,41.85
"Angelo State",womens-soccer,"NCAA D2","Lone Star Conference",Rams,1,"Dominic the Ram <small>(live)</small> / Roscoe and Bella <small>(costumed)</small>",#245397,#F0C33B,https://upload.wikimedia.org/wikipedia/commons/5/59/Angelostate_univ_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Angelo State University",,,,,,63.54
"Anna Maria College",womens-soccer,"NCAA D3","Massachusetts State Collegiate Athletic Conference",Amcats,1,,#A52238,,https://upload.wikimedia.org/wikipedia/en/a/ae/Anna_Maria_College_logo.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Anna Maria College",,,,,6.5,30.5
"Appalachian State",womens-soccer,"NCAA D1","Sun Belt",Mountaineers,1,Yosef,,,https://upload.wikimedia.org/wikipedia/en/c/c1/Appalachian_State_University_logo.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Appalachian State University",,,,,,71.37
"Aquinas College (Michigan)",womens-soccer,NAIA,"Wolverine-Hoosier Athletic Conference",Saints,1,"Nelson the St. Bernard (dog)",#751b19,,,"wikipedia:Aquinas College (Michigan)",,,,,5.6,61.23
"Arcadia University",womens-soccer,"NCAA D3","Middle Atlantic Conference (Freedom)",Knights,1,Archie,#FF2400,#808080,https://upload.wikimedia.org/wikipedia/commons/8/84/Arcadia_univ_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Arcadia University",,,,,6.5,42.36
Arizona,womens-soccer,"NCAA D1","Big 12",Wildcats,1,"Wilbur and Wilma T. Wildcat",,,https://upload.wikimedia.org/wikipedia/commons/b/b6/University_of_Arizona_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:University of Arizona",,,,,,79.52
"Arizona Christian University",womens-soccer,NAIA,"Great Southwest Athletic Conference",Firestorm,0,"Firestorm (Stormin' Norman)",,,https://upload.wikimedia.org/wikipedia/en/5/53/Arizona_Christian_University_triangle_logo.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Arizona Christian University",,,,,5.4,44.28
"Arizona State",womens-soccer,"NCAA D1","Big 12","Sun Devils",1,"Sparky the Sun Devil",#8C1D40,#FFC627,https://upload.wikimedia.org/wikipedia/commons/b/b3/Arizona_State_University_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Arizona State University",,,,,,83.81
Arkansas,womens-soccer,"NCAA D1",SEC,Razorbacks,1,"Sue E. / Tusk / Big Red",#9D2235,#FFFFFF,https://upload.wikimedia.org/wikipedia/en/2/25/University_of_Arkansas_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:University of Arkansas",,,,,4.8,92.07
"Arkansas State",womens-soccer,"NCAA D1","Sun Belt","Red Wolves",1,"Howl and Scarlet",,,https://upload.wikimedia.org/wikipedia/commons/f/f4/AState_Logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Arkansas State University",,,,,,68.06
"Arkansas-Pine Bluff",womens-soccer,"NCAA D1",SWAC,,,"Golden Lions",#FDB913,,https://upload.wikimedia.org/wikipedia/en/0/07/University_of_Arkansas_at_Pine_Bluff_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:University of Arkansas at Pine Bluff",,,,,,63.34
Army,womens-soccer,"NCAA D1",Patriot,"Black Knights",1,Mule,#000000,#BE9969,https://upload.wikimedia.org/wikipedia/commons/b/b9/United_States_Military_Academy_wordmark.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:United States Military Academy","corrected from this school's men's row: had been matched to a different institution of a similar name (wikipedia:Army University)",1,Patriot,"wikipedia:2025 NCAA Division I women's soccer tournament",8.2,77.69
"Asbury University",womens-soccer,"NCAA D3","Collegiate Conference of the South",Eagles,1,Eagle,,,,athletics-domain:asburyeagles.com,"copied from this school's other row (Asbury), same division; that row's nickname was recovered from the school's own athletics site",,,,6.5,38.86
Ashland,womens-soccer,"NCAA D2","Great Midwest Athletic Conference",Eagles,1,"Tuffy the Eagle",#4F2170,#FFC72C,https://upload.wikimedia.org/wikipedia/commons/c/ce/Ashland_University_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Ashland University",,1,GMAC,agent-research:2025-womens-soccer,5.4,71.26
Assumption,womens-soccer,"NCAA D2","Northeast-10 Conference",Greyhounds,1,"Pierre the Greyhound",,,https://upload.wikimedia.org/wikipedia/commons/c/c1/Assumpt_univ_textlogo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Assumption University (Worcester)",,,,,6.0,55.22
Auburn,womens-soccer,"NCAA D1",SEC,Tigers,1,"Aubie the Tiger",#E86100,#0B2341,,"wikipedia:Auburn University",,,,,,84.78
