name,sport,division,conference,nickname,nickname_plural,mascot,primary_color,secondary_color,logo_url,identity_source,identity_notes,conference_champion_2025,conference_champion_name,conference_champion_source,academic_rating,soccer_score
"Saint Leo",mens-soccer,"NCAA D2","Sunshine State",Lions,1,"""Fritz""",#008000,#FFCC00,https://upload.wikimedia.org/wikipedia/en/e/e9/Saint_Leo_University_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Saint Leo University",,,,,5.4,49.62
"Saint Louis",mens-soccer,"NCAA D1","Atlantic 10 Conference",Billikens,1,,#003DA5,#FFFFFF,https://upload.wikimedia.org/wikipedia/en/4/4b/Saint_Louis_University_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Saint Louis University",,1,"Atlantic 10","wikipedia:2025 NCAA Division I men's soccer tournament",7.8,81.24
"Saint Martin's",mens-soccer,"NCAA D2",GNAC,Saints,1,,,,https://upload.wikimedia.org/wikipedia/en/a/ab/Saint_martin_univ_logo.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Saint Martin's University",,,,,5.4,38.0
"Saint Mary (KS)",mens-soccer,NAIA,KCAC,Spires,1,Crusaders,,,https://upload.wikimedia.org/wikipedia/en/a/a6/University_of_Saint_Mary_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:University of Saint Mary",,,,,5.6,49.36
"Saint Mary's",mens-soccer,"NCAA D1","West Coast Conference",Belles,1,Belle,,,https://upload.wikimedia.org/wikipedia/commons/2/26/SMC_Logo_CMYK.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Saint Mary's College (Indiana)",,,,,8.2,71.62
"Saint Mary's (MN)",mens-soccer,"NCAA D3",MIAC,Cardinals,1,Cardinal,#213F64,#DA1A32,https://upload.wikimedia.org/wikipedia/commons/d/d8/St_mary_univ_minnesota_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Saint Mary's University of Minnesota",,,,,8.2,39.59
"Saint Mary-of-the-Woods College",mens-soccer,NAIA,"River States Conference",Pomeroys,1,Onyx,#579ed2,,https://upload.wikimedia.org/wikipedia/commons/5/55/Logo_of_SMWC.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Saint Mary-of-the-Woods College","copied from this school's other-sport row (Saint Mary-of-the-Woods College); the article ""Saint Mary-of-the-Woods College"" names this institution",,,,,42.51
"Saint Michael's",mens-soccer,"NCAA D2",Northeast-10,"Purple Knights",1,,#652d8a,#cfab7a,https://upload.wikimedia.org/wikipedia/commons/3/3c/St_michaels_college_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Saint Michael's College",,,,,7.0,55.27
"Saint Olaf",mens-soccer,"NCAA D3",MIAC,"""Oles""",1,"St. Olaf Lion, ""Ole""",,,https://upload.wikimedia.org/wikipedia/commons/7/70/St_olaf_college_minn_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:St. Olaf College",,,,,8.8,57.86
"Saint Peter's",mens-soccer,"NCAA D1","Metro Atlantic Athletic Conference",Peacocks,1,"Peter the Peacock",#003C71,#0072CE,https://upload.wikimedia.org/wikipedia/en/3/3b/Saint_Peter%27s_University_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Saint Peter's University",,,,,4.8,62.38
