slug,city,state,rank,category,accept,sat_25,sat_75,act_25,grad_rate_4yr,retention,student_faculty_ratio,founded,undergrads
carthage-college-3839,Kenosha,WI,46,Regional Universities Midwest,87,,,20,56,76,14,1847,2675
catawba-college-2914,Salisbury,NC,4,Regional Colleges South,75,1030,1300,,39,71,12,1851,1263
cedar-crest-college-3243,Allentown,PA,98,Regional Universities North,84,900,1190,,51,74,9,1867,870
case-western-reserve-university-3024,Cleveland,OH,51,National Universities,38,1440,1550,,73,93,9,1826,6528
central-college-1850,Pella,IA,131,National Liberal Arts Colleges,86,,,20,58,77,12,1853,1084
centenary-college-2003,Shreveport,LA,143,National Liberal Arts Colleges,56,1060,1210,,48,69,10,1825,693
centenary-university-2599,Hackettstown,NJ,98,Regional Universities North,83,,,,47,75,12,1867,951
cedarville-university-3025,Cedarville,OH,17,Regional Universities Midwest,65,1130,1360,,62,87,15,1887,5790
central-washington-university-3771,Ellensburg,WA,46,Regional Universities West,91,,,,38,69,17,1891,10033
chaminade-university-of-honolulu-1605,Honolulu,HI,38,Regional Universities West,79,,,,55,70,12,1955,1817
centre-college-1961,Danville,KY,55,National Liberal Arts Colleges,54,1160,1450,,76,89,11,1819,1407
central-michigan-university-2243,Mount Pleasant,MI,283,National Universities,90,960,1200,,40,75,16,1892,10219
charleston-southern-university-3419,Charleston,SC,70,Regional Universities South,96,930,1160,,37,66,11,1964,3126
central-connecticut-state-university-1378,New Britain,CT,76,Regional Universities North,73,960,1190,,25,76,14,1849,8170
chestnut-hill-college-3245,Philadelphia,PA,128,Regional Universities North,74,,,,41,67,10,1924,972
chatham-university-3244,Pittsburgh,PA,213,National Universities,62,1070,1295,,54,79,10,1869,1555
chapman-university-1164,Orange,CA,110,National Universities,65,1260,1440,,71,91,12,1861,7713
chowan-university-2916,Murfreesboro,NC,67,Regional Colleges South,69,,,,19,64,15,1848,603
christian-brothers-university-3482,Memphis,TN,37,Regional Universities South,87,1020,1380,,41,72,9,1871,1155
christopher-newport-university-3706,Newport News,VA,6,Regional Universities South,86,1060,1290,,64,84,14,1960,4369
chicago-state-university-1694,Chicago,IL,145-160,Regional Universities Midwest,43,,,,7,48,10,1867,1495
claremont-mckenna-college-1170,Claremont,CA,7,National Liberal Arts Colleges,10,1470,1560,,75,97,8,1946,1390
clark-university-2139,Worcester,MA,132,National Universities,40,1288,1460,,70,87,9,1887,2266
clarkson-university-2699,Potsdam,NY,143,National Universities,77,1200,1390,,62,83,13,1896,2296
clayton-state-university-8976,Morrow,GA,80,Regional Universities South,68,860,1050,,18,67,20,1969,5551
clemson-university-3425,Clemson,SC,75,National Universities,38,1240,1410,,68,93,16,1889,23401
cleveland-state-university-3032,Cleveland,OH,343,National Universities,91,,,18,33,70,16,1964,9418
coastal-carolina-university-3451,Conway,SC,33,Regional Universities South,75,1050,1220,,37,74,17,1954,10811
