school_id,name,division,conference,conf_tier,2022_W,2022_L,2022_D,2023_W,2023_L,2023_D,2024_W,2024_L,2024_D,2025_W,2025_L,2025_D,2022_ps,2023_ps,2024_ps,2025_ps
indiana,Indiana,D1,Big Ten,d1t1,14,5,6,15,4,5,11,5,5,12,6,1,final,semi,r32,appearance
iona,Iona,D1,MAAC,d1t3,7,5,5,12,4,0,11,5,3,9,4,5,,,appearance,
jacksonville,Jacksonville,D1,ASUN,d1t3,3,8,4,5,9,3,4,6,5,6,7,5,,,,
james_madison,James Madison,D1,Sun Belt,d1t3,8,8,4,10,5,5,8,5,6,1,10,5,,quarter,,
kentucky,Kentucky,D1,Sun Belt,d1t3,15,1,5,8,8,4,7,6,6,10,4,5,r16,r16,,appearance
liu,LIU,D1,NEC,d1t4,9,6,2,10,6,3,8,5,7,8,3,7,,r32,appearance,
la_salle,La Salle,D1,Atlantic 10,d1t3,5,9,4,5,8,4,6,8,4,4,5,8,,,,
lafayette,Lafayette,D1,Patriot League,d1t3,9,6,4,9,6,6,8,6,4,8,7,7,,,,appearance
le_moyne,Le Moyne,D1,NEC,d1t4,7,6,6,2,8,7,7,6,4,5,10,2,,,,
lehigh,Lehigh,D1,Patriot League,d1t3,3,10,3,3,10,5,6,10,3,9,5,6,,,,
liberty,Liberty,D1,SoCon,d1t3,3,6,6,9,6,3,7,7,3,9,5,6,,,,
lindenwood,Lindenwood,D1,OVC,d1t4,3,11,1,7,7,6,11,6,3,14,3,4,,,,appearance
lipscomb,Lipscomb,D1,ASUN,d1t3,14,3,2,10,4,4,3,8,5,2,9,6,r32,r32,,
longwood,Longwood,D1,Big South,d1t3,2,10,5,6,6,3,5,10,3,3,8,5,,,,
louisville,Louisville,D1,ACC,d1t1,9,6,3,12,6,3,6,7,4,5,7,5,r32,r16,,
loyola_chicago,Loyola Chicago,D1,Atlantic 10,d1t3,9,2,7,8,2,5,5,9,2,4,5,7,,,,
loyola_maryland,Loyola Maryland,D1,Patriot League,d1t3,4,5,8,7,3,8,4,7,6,3,10,3,,,,
loyola_marymount,Loyola Marymount,D1,WCC,d1t2,9,6,3,10,5,6,6,8,3,5,6,7,,semi,,
manhattan,Manhattan,D1,MAAC,d1t3,8,5,6,7,8,3,5,8,3,4,8,4,,,,
marist,Marist,D1,MAAC,d1t3,7,6,4,6,8,3,7,9,2,8,4,4,,,,
marquette,Marquette,D1,Big East,d1t2,5,9,4,7,6,3,6,7,4,7,7,2,,,,
marshall,Marshall,D1,Sun Belt,d1t3,11,4,4,18,2,0,15,2,7,12,4,5,quarter,r16,semi,r32
maryland,Maryland,D1,Big Ten,d1t1,11,4,5,4,8,3,9,6,5,13,2,4,r16,,r32,r16
memphis,Memphis,D1,AAC,d1t2,9,6,4,11,6,2,7,7,3,4,8,3,r32,r16,,
mercer,Mercer,D1,SoCon,d1t3,8,5,6,7,6,8,6,5,7,5,9,4,,r32,,
mercyhurst,Mercyhurst,D1,NEC,d1t4,19,1,1,14,3,1,8,7,2,3,10,4,,,,
merrimack,Merrimack,D1,MAAC,d1t3,8,6,3,5,7,4,3,11,2,4,9,3,,,,
michigan,Michigan,D1,Big Ten,d1t1,4,10,3,5,6,7,9,5,7,12,4,4,,,r32,appearance
michigan_state,Michigan State,D1,Big Ten,d1t1,6,9,2,7,2,7,5,7,5,5,8,3,,,,
milwaukee,Milwaukee,D1,Horizon League,d1t3,1,8,8,4,9,4,9,5,5,4,7,8,,,,
missouri_state,Missouri State,D1,AAC,d1t2,12,2,4,12,4,3,12,4,2,6,6,4,r32,r16,appearance,
monmouth,Monmouth,D1,CAA,d1t3,7,7,1,8,4,6,8,2,6,5,8,3,,,,
mount_st_marys,Mount St. Mary's,D1,MAAC,d1t3,7,9,1,2,10,3,3,11,4,3,9,5,,,,
nc_state,NC State,D1,ACC,d1t1,6,7,4,6,9,3,10,5,5,16,3,4,,,r16,semi
njit,NJIT,D1,America East,d1t3,5,8,4,7,8,4,6,8,4,3,9,5,,,,
navy,Navy,D1,Patriot League,d1t3,7,5,9,6,8,5,4,8,4,3,8,7,r32,,,
new_hampshire,New Hampshire,D1,America East,d1t3,15,4,1,13,3,4,7,3,7,5,8,5,r16,r16,,
new_haven,New Haven,D1,NEC,d1t4,1,10,4,6,7,2,12,4,4,5,5,6,,,,
niagara,Niagara,D1,MAAC,d1t3,5,9,6,4,10,3,2,12,2,8,7,1,,,,
north_carolina,North Carolina,D1,ACC,d1t1,8,6,5,11,4,7,9,4,5,9,5,6,r32,quarter,appearance,r32
north_florida,North Florida,D1,ASUN,d1t3,4,8,4,3,8,4,7,8,4,12,5,2,,,appearance,appearance
northeastern,Northeastern,D1,CAA,d1t3,6,9,3,4,7,6,4,5,7,4,7,4,,,,
northern_illinois,Northern Illinois,D1,Horizon League,d1t3,5,8,4,3,12,1,3,12,1,8,5,4,,,,
northern_kentucky,Northern Kentucky,D1,Horizon League,d1t3,4,11,2,4,10,3,3,6,7,4,10,3,,,,
northwestern,Northwestern,D1,Big Ten,d1t1,3,9,5,10,4,3,9,7,1,8,6,3,,,,
notre_dame,Notre Dame,D1,ACC,d1t1,8,7,2,13,3,6,7,5,5,9,7,4,,final,,r32
oakland,Oakland,D1,Horizon League,d1t3,4,10,5,8,9,2,9,6,2,3,9,6,,,,
ohio_state,Ohio State,D1,Big Ten,d1t1,11,3,6,6,6,6,16,2,4,7,9,0,r16,,quarter,
old_dominion,Old Dominion,D1,Sun Belt,d1t3,6,8,2,5,7,5,7,8,2,5,5,8,,,,
omaha,Omaha,D1,Summit League,d1t4,8,6,2,8,8,4,7,7,3,3,9,4,,r32,,
oral_roberts,Oral Roberts,D1,Summit League,d1t4,11,4,2,10,4,3,7,6,3,4,10,3,,,,
